pincode,circle,region,division,offices
781040,Assam Circle,N/A,Guwahati Division,Sawkuchi S.O
781101,Assam Circle,N/A,Guwahati Division,"Changsari S.O, Baralabari B.O, Deoduar B.O, Dorakahara B.O, Panitema B.O, Pubborka B.O"
781102,Assam Circle,N/A,Guwahati Division,"Hajo S.O, Akadi B.O, Bagta B.O, Bhelkarbazar B.O, Borni B.O, Dampur B.O, Gerua B.O, Hablaka B.O, Kalitakuchi B.O, Khapenikuchi B.O, Khetri Hardia B.O, Kuwarpur B.O, Nampara Majarkuri B.O, Ramdia B.O, Soniadi B.O, Tokradia B.O, Topabari B.O, Uzankuri B.O"
781103,Assam Circle,N/A,Guwahati Division,"Soalkuchi S.O, Bamundi B.O, Bongshor B.O, Gandhmow B.O, Halogaon B.O, Siliguri B.O, Srihati B.O"
781104,Assam Circle,N/A,Guwahati Division,"Kulhati S.O, Bargaon B.O, Boromboi B.O, Dadara B.O, Nizmanakuchi B.O, Pacharia B.O, Rowmari B.O, Tetelia B.O"
781120,Assam Circle,N/A,Guwahati Division,"Borduar S.O, Loharghat B.O, Mataikhar B.O, Rajapara B.O"
781121,Assam Circle,N/A,Guwahati Division,"Bezera S.O, Barpalaha B.O, Bhomolahati B.O, Dumunichowki B.O, Halda B.O, Kendua B.O, Mandakata B.O, Saledal B.O"
781122,Assam Circle,N/A,Guwahati Division,"Bijoynagar S.O, Batarhat B.O, Dakhala B.O, Dehaligaon B.O, Futuri B.O, Rangamati B.O, Sarpara B.O, Simina B.O"
781123,Assam Circle,N/A,Guwahati Division,"Boko S.O, Bhalukghata B.O, Birpara B.O, Boko Agchia B.O, Boko Rajapara B.O, Durapara B.O, Gohalkona B.O, Kinangaon B.O, Mauman Ashram B.O, Paneri B.O"
781124,Assam Circle,N/A,Guwahati Division,"Chhaygaon S.O, Bakalipara B.O, Balapukhuri B.O, Borjhar B.O, Champaknagar B.O, Ghoramara B.O, Kaimari B.O, Natun Jharobari B.O, Pachim Dhuligaon B.O, Ratanpur B.O, Sidilapara B.O, Ukiam B.O, Baniapara B.O"
781125,Assam circle,N/A,Guwahati Division,"Amranga B.O, Mirza S.O, Dhengargaon B.O, Gosaihat B.O, Kulsirange B.O, Maniari Tiniali B.O, Sikarhati B.O"
781126,Assam Circle,N/A,Nalbari Division,"Mukalmua S.O, Adabari B.O, Balikuchi B.O, Bhangnamari B.O, Chanda B.O, Dagapara B.O, Jaysagar B.O, Kandhbari B.O, Loharkatha B.O, Lowpara B.O, Lowtola B.O, Meruattari B.O, Narayanpur B.O"
781127,Assam Circle,N/A,Guwahati Division,"Nagarbera S.O, Alupati B.O, Badlabazar B.O, Bagmarachar B.O, Hekra B.O, Jamlai B.O, Kachumara B.O, Kalardia B.O, Kalubari B.O, Kholabandha B.O, Mandira B.O, Naitar B.O, Palahartari B.O, Pathimari B.O, Pijupara B.O, Tupamari B.O"
781128,Assam Circle,N/A,Guwahati Division,"Palashbari S.O, Agchia B.O, Majirgaon B.O"
781129,Assam Circle,N/A,Guwahati Division,"Hahimbazar S.O, Lower Lumpi B.O, Nalapara B.O, Samuka B.O"
781131,Assam Circle,N/A,Guwahati Division,"Rani S.O (Kamrup), Jirang B.O, Patharkhmah B.O, Warmawsaw B.O"
781132,Assam Circle,N/A,Guwahati Division,"Rampur S.O (Kamrup), Bhagawatipara B.O, Nahira B.O, Satpakhali B.O"
781133,Assam Circle,N/A,Guwahati Division,Dagaon S.O.
781134,Assam Circle,N/A,Guwahati Division,"Kukurmara S.O, Amtala B.O, Jiakur B.O"
781135,Assam Circle,N/A,Guwahati Division,"Singra S.O, Bargaon Khaliha B.O, Bondapara B.O, Damalchos B.O, Gamarimura B.O, Pachia B.O, Simlatarabari B.O, Singra Rajapara B.O, Saraibaha B.O."
781136,Assam Circle,N/A,Guwahati Division,"Pachim Samaria S.O, Baruapathar B.O, Bhauriabhita B.O, Champaparabazar B.O, Dekachang B.O, Jogiparapathar B.O, Kalatoli B.O, Mahtoli B.O, Malibaribazar B.O, Malibaripathar B.O"
781137,Assam circle,N/A,Guwahati Division,"Alikash B.O, Batahidia B.O, Bhitarduar B.O, Hatipara B.O, Jahirpur B.O, Mahimari B.O, Panikhaiti B.O, Toparpathar B.O, Tukrapara B.O, Aggumi S.O"
781138,Assam Circle,N/A,Nalbari Division,"Bartola S.O, Hidilatari B.O, Kachuapathar B.O, Kaplabari B.O, Kekankuchi B.O, Larkuchi B.O, Narua B.O, Pachim Kajia Gaon B.O"
781141,Assam Circle,N/A,Guwahati Division,"Bamunigaon S.O (Kamrup), Choudhurykhat B.O, Jambari B.O, Santipur B.O"
781150,Assam Circle,N/A,Guwahati Division,"Chandrapur S.O (Kamrup), Gobardhan B.O"
781171,Assam Circle,N/A,Guwahati Division,"Udayan Vihar S.O, Patharquerry S.O"
781301,Assam Circle,N/A,Nalbari Division,"Barpeta H.O, Thakurbazar S.O"
781302,Assam Circle,N/A,Nalbari Division,"Baharihat S.O, Barghol B.O, Gomafulbari B.O, Nizbahari B.O"
781303,Assam Circle,N/A,Nalbari Division,"Banagram S.O, Banagram Chowk B.O, Barnaddi B.O, Batsar B.O, Bihampur B.O, Mularkuchi B.O, Panigaon B.O"
781304,Assam Circle,N/A,Nalbari Division,"Belsor S.O, Barnibari B.O, Bonmaza B.O, Dirua B.O, Gandhia B.O, Kakaya B.O"
781305,Assam Circle,N/A,Nalbari Division,"Chenga S.O, Bhogdia B.O, Jatradia B.O, Khangra B.O, Makrikuchi B.O, Pacim Mazdia B.O, Chenimari B.O"
781306,Assam Circle,N/A,Nalbari Division,"Chamata S.O, Amani B.O, Gamerimuri B.O, Pachimchamata B.O, Rupia Bathan B.O"
781307,Assam Circle,N/A,Nalbari Division,"Sarthebari S.O, Amrikhowa B.O, Barkapla B.O, Byaskuchi B.O, Kamalabari B.O, Karaguri B.O, Namsala B.O, Nasatraphulbari B.O, Parakuchi B.O"
781308,Assam Circle,N/A,Nalbari Division,"Mandia S.O, Baghbar B.O, Balajan B.O, Bhoirarpam B.O, Chakabausi B.O, Dharampur B.O, Habidongra Bazar B.O, Kadomtola B.O, Manikpur B.O, Nirala B.O, Pahumara B.O, Ramaparapam B.O, Satrakanara Bazar B.O, Sitoli B.O, Deoldi B.O"
781309,Assam Circle,N/A,Nalbari Division,"Bhella S.O, Bheraldi B.O, Bhogerpar B.O, Dhakua B.O, Keotkuchi B.O, Khardhara B.O, Palhaji B.O, Radhakuchi B.O"
781310,Assam Circle,N/A,Nalbari Division,"Jagra S.O, Bagurihati B.O, Balowa B.O, Deharkalakuchi B.O, Khakharisal B.O"
781311,Assam Circle,N/A,Nalbari Division,"Nagaon Bazar S.O, Bagodi B.O, Bhairaguri B.O, Burikhamar B.O, Erabamundi B.O, Gahia B.O, Garatari B.O, Rangia Bhaithabhangahat B.O, Raoli B.O"
781312,Assam Circle,N/A,Nalbari Division,"Rampur S.O (Nalbari), Bamunbari B.O, Barghopa B.O, Chinadi B.O, Daulasal B.O, Kalarchar B.O, Lachima B.O, Mugdi B.O, Peradhara B.O, Raumaripathar B.O, Chatla B.O"
781313,Assam Circle,N/A,Nalbari Division,"Simlaguri S.O, Balabhitha B.O, Guagacha B.O, Mazgaon B.O, Mespara B.O"
781314,Assam Circle,N/A,Nalbari Division,"Santinagar S.O (Barpeta), Baradi B.O, Barpalli B.O, Bhatkuchi B.O, Gajia B.O, Ganakkuchi B.O, Garaimari B.O, Jahurpam B.O, Jania B.O, Jarabari B.O, Kadang B.O, Patbaushi B.O, Sonkuchi B.O, Sundaridia B.O"
781315,Assam Circle,N/A,Nalbari Division,"Barpeta Road S.O, Barengabari B.O, Bilashi Para Bazar B.O, Gobardhana B.O, Kalahbhanga B.O, Kalapani Bazar B.O, Katajhar B.O, Khairabari B.O, Kohitama B.O, Labdangguri Gaon B.O, Mainamata B.O, Mairajar B.O, Nimua B.O"
781316,Assam Circle,N/A,Nalbari Division,"Howly S.O, Ambari B.O, Barbala B.O, Dabaliapara B.O, Ghilajari B.O, Jasihatipara B.O, Khatalpara B.O, Kujarpith B.O, Moutupuri B.O, Sukmanah B.O"
781317,Assam Circle,N/A,Nalbari Division,"Sorbhog S.O, Amguri B.O, B Noontola B.O, Balapet B.O, Barnagarcollege B.O, Bhalukadoba B.O, C Bazar B.O, Chachaka B.O, Duramari B.O, Kamargaon B.O, Chukurngbari B.O, Suliakata B.O"
781318,Assam Circle,N/A,Nalbari Division,"Sarupeta S.O, Anandabazar B.O, Barbhitha Dolarpathar B.O, Barmazra B.O, Bhalaguri B.O, Chenglimari B.O, Hudukhata B.O, Kardoiguri B.O, Puranbhowanipur B.O, Rupahi B.O, Salbari B.O, Chamuagati B.O, Saudarvitha B.O, Sonafuli B.O"
781319,Assam Circle,N/A,Nalbari Division,"Kalgachia S.O, Balagaon B.O, Balikuri B.O, Bankubhanga B.O, Charcharia B.O, Ghugubari B.O, Gunialguri B.O, Langla B.O, Niz Rampur B.O, Sawpur B.O"
781321,Assam Circle,N/A,Nalbari Division,"Mayanbari S.O, Bonghugi B.O, Chandmama B.O, DP Deoldi B.O, Ishabpur B.O, Kapahtolichikni B.O, Patharchali Chatala B.O, Sonabari B.O, Tarakandi B.O"
781325,Assam Circle,N/A,Nalbari Division,"Pathsala S.O, Amdah B.O, Bamakhata B.O, Barbang B.O, Bhakuamari B.O, Bhethua B.O, Bhotantasaderi B.O, Dubi B.O, Hathinapur B.O, Muguria B.O, Odalguri B.O, Raypur B.O, Bajali College S.O"
781326,Assam Circle,N/A,Nalbari Division,"Patacharkuchi S.O, Bamunkuchi B.O, Barbatabari B.O, Gobindapur B.O"
