pincode,circle,region,division,offices
770046,Odisha Circle,Sambalpur Region,Rourkela Division,Hatibari S.O
770048,Odisha circle,Sambalpur Region,Rourkela Division,"Dengula Ashram B.O, Patmunda B.O, Koira S.O"
770051,Odisha circle,Sambalpur Region,Rourkela Division,"Bandhabhuin B.O, Barghat B.O, Gilli B.O, Gopinathpur B.O, Govindpur B.O, Indrapur B.O, Jhirdapali B.O, Kasada B.O, Kulkuta B.O, S.Bolang B.O, Sarsara B.O, Tendra B.O, Tikayatpali B.O, Kenaveta S.O"
770052,Odisha Circle,Sambalpur Region,Rourkela Division,Kalta S.O
770070,Odisha circle,Sambalpur Region,Sundargarh Division,"Jharbeda B.O, Tunmura S.O"
770072,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbonga B.O, Darlipali B.O, J.Raiboga B.O, Jhargaon B.O, Kanaktura B.O, Nuadihi B.O, Zincnagar S.O"
770073,Odisha circle,Sambalpur Region,Sundargarh Division,"Baladmal B.O, Baragad B.O, Bhedabahal B.O, Kopsingha B.O, Lankahuda B.O, Pudajalanga B.O, SUBALAYA B.O, Kirei S.O"
770074,Odisha circle,Sambalpur Region,Sundargarh Division,"Bandega B.O, Barhadema B.O, Hutupani B.O, Kantabahal B.O, Lulkidihi B.O, Rouldega B.O, Sagbahal B.O, Sagjore B.O, Tilia B.O, Tumlia B.O, Talsara S.O"
770075,Odisha circle,Sambalpur Region,Sundargarh Division,"Beheramunda B.O, Daghora B.O, Rohini B.O, Tangardihi B.O, Hemgir Road S.O"
770076,Odisha circle,Sambalpur Region,Sundargarh Division,"Balinga B.O, Barpali B.O, Duduka B.O, Tikilipara B.O, SUMURA B.O, Basundhara S.O"
781001,Assam Circle,N/A,Guwahati Division,"Guwahati G.P.O., Fancy Bazar S.O, Uzanbazar S.O"
781002,Assam Circle,N/A,Guwahati Division,IBC Guwahati P.O
781003,Assam Circle,N/A,Guwahati Division,"Silpukhuri S.O, Assam Tribune S.O"
781004,Assam Circle,N/A,Guwahati Division,Kharguli S.O
781005,Assam circle,N/A,Guwahati Division,"Japorigog B.O, Dispur S.O"
781006,Assam Circle,N/A,Guwahati Division,Assam Sachivalaya S.O
781007,Assam Circle,N/A,Guwahati Division,"Ulubari S.O, Lachitnagar S.O"
781008,Assam Circle,N/A,Guwahati Division,"Rehabari S.O, Paltanbazar S.O"
781009,Assam Circle,N/A,Guwahati Division,Bharalumukh S.O
781010,Assam Circle,N/A,Guwahati Division,Kamakhya S.O
781011,Assam Circle,N/A,Guwahati Division,"Mlg Rly Hqs S.O, Debgotanagar B.O, Gotanagar S.O"
781012,Assam Circle,N/A,Guwahati Division,"Pandu S.O, Dehangarigaon B.O, Sadilapur B.O, Pandu Rly Colony S.O"
781013,Assam Circle,N/A,Guwahati Division,Jalukbari S.O
781014,Assam Circle,N/A,Guwahati Division,Guwahati University H.O
781015,Assam Circle,N/A,Guwahati Division,"Guwahati Airport S.O, Bongra B.O"
781016,Assam Circle,N/A,Guwahati Division,Gopinathnagar S.O
781017,Assam circle,N/A,Guwahati Division,"Dharapur B.O, Bhattaparagaral B.O, Azara S.O"
781018,Assam Circle,N/A,Guwahati Division,Binovanagar S.O
781019,Assam Circle,N/A,Guwahati Division,Kahilipara S.O
781020,Assam Circle,N/A,Guwahati Division,Noonmati S.O
781021,Assam Circle,N/A,Guwahati Division,Bamunimaidan S.O
781022,Assam Circle,N/A,Guwahati Division,Khanapara S.O
781023,Assam Circle,N/A,Guwahati Division,"Amerigog S.O, Jorabat B.O"
781024,Assam Circle,N/A,Guwahati Division,"Zoo Road S.O, Gitanagar B.O"
781025,Assam Circle,N/A,Guwahati Division,"Ambari Fatasil S.O, Dhirenpara B.O"
781026,Assam circle,N/A,Guwahati Division,"Bonda B.O, Panikhaiti B.O, Narangi S.O"
781027,Assam circle,N/A,Guwahati Division,"Amsinggaon E (S  85) B.O, Satgaon S.O"
781028,Assam Circle,N/A,Guwahati Division,Beltola S.O
781029,Assam circle,N/A,Guwahati Division,"Pillangkata B.O, Basistha S.O"
781030,Assam circle,N/A,Guwahati Division,"Barbaka B.O, Dopdar B.O, Madhyamkhanda B.O, Rongmahal B.O, North Guwahati S.O"
781031,Assam circle,N/A,Guwahati Division,"Collegenagar B.O, Amingaon S.O"
781032,Assam Circle,N/A,Guwahati Division,Indrapur S.O
781034,Assam Circle,N/A,Guwahati Division,Odalbakra S.O
781035,Assam Circle,N/A,Guwahati Division,Garchuk S.O
781036,Assam Circle,N/A,Guwahati Division,Hengrabari S.O
781037,Assam Circle,N/A,Guwahati Division,Panjabari S.O
781038,Assam Circle,N/A,Guwahati Division,Hatigaon Chariali S.O
781039,Assam Circle,N/A,Guwahati Division,I I T S.O
