pincode,circle,region,division,offices
770016,Odisha circle,Sambalpur Region,Sundargarh Division,"Aludega B.O, Bamdera B.O, Barangakachhar B.O, Bhoipali B.O, Ekma B.O, Itma B.O, Jarangloi B.O, Kumbahal B.O, Kureiboga B.O, Kustuna B.O, Lamti B.O, Pamra B.O, Phulbari B.O, Rungaon B.O, Sahajbahal B.O, Salbira B.O, Sankraposh B.O, Tiklipara B.O, Bargaon (Sundergarh) S.O"
770017,Odisha circle,Sambalpur Region,Sundargarh Division,"Alanda B.O, Buchukupara B.O, Garbhana B.O, Jareikela B.O, Kesramal B.O, Kutunia B.O, Malidihi B.O, Rajgangpur S.O, Ranibandha S.O"
770018,Odisha circle,Sambalpur Region,Sundargarh Division,"Amgova B.O, Biringatoli B.O, Dahijira B.O, Dandjamira B.O, Gairbahal B.O, Kahapani B.O, Khatkurbahal B.O, Koronga B.O, Kusumdegi B.O, Latalaga B.O, N.Jharen B.O, Panchora B.O, Tudalaga B.O, Kutra S.O"
770019,Odisha circle,Sambalpur Region,Sundargarh Division,"Badbahal B.O, Bhasma B.O, Daldali B.O, Deuli B.O, Jamtalia B.O, Kinjirma B.O, Mangaspur B.O, Remanda B.O, Kundukela S.O"
770020,Odisha circle,Sambalpur Region,Sundargarh Division,"Aleikera B.O, Baurimundagaon B.O, Gangpurgarh B.O, Kiakachhar B.O, Kukridihi B.O, Kulba B.O, Rajpur B.O, Ratanpur B.O, Sanpatrapali B.O, Sankara S.O"
770021,Odisha circle,Sambalpur Region,Sundargarh Division,"Aunlabahal B.O, Diamunda B.O, Kalamegha B.O, Kuturma B.O, Raidihi B.O, Sargipali S.O"
770022,Odisha circle,Sambalpur Region,Sundargarh Division,"Badsalepali B.O, Birbira B.O, Gadiajore B.O, Karla B.O, Kulta B.O, Lahandabud B.O, Ledhimong B.O, Majhapara B.O, Philingibahal B.O, Salangabud B.O, Dharuadihi S.O"
770023,Odisha circle,Sambalpur Region,Sundargarh Division,"Gyanpali B.O, Katang B.O, R.Kukuda B.O, Lanjiberna S.O"
770024,Odisha circle,Sambalpur Region,Sundargarh Division,"Bileimunda B.O, G. Tumulia B.O, Jharpalam B.O, R.Ratansara B.O, Topria B.O, Gopalpur S.O (Sundergarh)"
770025,Odisha Circle,Sambalpur Region,Sundargarh Division,NTPC  Darlipali SO
770031,Odisha circle,Sambalpur Region,Rourkela Division,"Balanda B.O, Beldihi B.O, Chikatmati B.O, Kalunga S.O"
770032,Odisha Circle,Sambalpur Region,Rourkela Division,"Bandomunda S.O, Loco Colony Bandomunda S.O"
