pincode,circle,region,division,offices
782103,Assam Circle,Dibrugarh Region,Nagaon Division,"Raha S.O, Bagariguri B.O, Bamunbori B.O, Barapujia B.O, Dighaldori B.O, Dighaliati B.O, Fulaguri B.O, Gandhibori B.O, Hariamukh B.O, Kapahera B.O, Khaigarh B.O, Khaplangkuchi B.O, Molankata B.O, Rahagaon B.O, Ramjanati B.O, Saragaon B.O"
782104,Assam Circle,Dibrugarh Region,Nagaon Division,"Jaluguti S.O, Bhurbandha B.O, Goroimari B.O, Kachadhara Nakhanda B.O, Nizdandua B.O, Patidaya B.O, Patrabori B.O, Patuakata B.O, Sapmarigaon B.O, Solmari Mikirgaon B.O, Sukdal Sarubori B.O, Tarabori Kalsila Satra B.O, Tokonabori B.O"
782105,Assam Circle,Dibrugarh Region,Nagaon Division,"Morigaon S.O, Azarbari B.O, Baghara B.O, Bangalpara B.O, Damal B.O, Dighalbori B.O, Doloichuba B.O, Ghagua B.O, Karatipam B.O, Komoraguri B.O, Manipur B.O, Natuagaon B.O, Sarubori B.O, Udari B.O"
782106,Assam Circle,Dibrugarh Region,Nagaon Division,"Charaibahi S.O, Alikuchi B.O, Barchala B.O, Chabukdhara B.O, Chatabar B.O, Garukhuti B.O, Habibarangabari B.O, Mikirbheta B.O, Nagabandha B.O, Bhomoraguri B.O"
782120,Assam Circle,Dibrugarh Region,Nagaon Division,"Ambagan S.O, Bagamukh B.O, Bharidhua B.O, Borghuli Sapmar B.O, Burhachaparigao B.O, Dakhin Beloguri B.O, Hatlaokhowa B.O, Kathpara Bazar B.O, Lailuri B.O"
782121,Assam Circle,Dibrugarh Region,Nagaon Division,"Bhuragaon S.O, Baralimari B.O, Dungarpar B.O, Gagalmari B.O, Geruagaon B.O, Haloakanda B.O, Lengeribori B.O, Pukarkata B.O, Sandahkhaiti B.O, Sondoba B.O, Toptola B.O"
782122,Assam Circle,Dibrugarh Region,Nagaon Division,"Batadraba S.O, Amlakhi B.O, Balikatia B.O, Balisatra B.O, Batamari B.O, Borbheti B.O, Chalapathar B.O, Dhaniabheti B.O, Hatizuzua B.O, Jengani B.O, Kadomoni B.O, Lalunggaon B.O, Patiachapari B.O"
782123,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhing S.O, Akorabori B.O, Bechamari B.O, Borbheti Dhing B.O, Chamuagaon B.O, Dhing Bazar B.O, Dhupaguri B.O, Kandhulimari B.O, Niz dhing B.O, Rowmari Bill B.O, Silpukhuri B.O, Sologuri B.O, Sonarigaon B.O, Tuktuki B.O"
782124,Assam Circle,Dibrugarh Region,Nagaon Division,"Juria S.O, Alitangani B.O, Chitalmari Beel B.O, Dagaon B.O, Fakali Pathar B.O, Kashari B.O, Leteripar Bazar B.O, Mithapukhuripar B.O, Pub Baralimari B.O, Singari Madrassa B.O, Sutirpar B.O, Teliabebejia B.O, Tinsukia Juria B.O"
782125,Assam Circle,Dibrugarh Region,Nagaon Division,"Rupahi S.O, Barghat B.O, Dighali B.O, Gatonga B.O, Hatipukhuri B.O, Kanchanpur B.O, Kumargaon B.O, Pub Amarakanda B.O, Pubsalpara B.O, Puthikhaiti B.O, Rowmari B.O, Saidoria B.O, Singimari B.O, Tarabari B.O, Teliachapari B.O"
782126,Assam Circle,Dibrugarh Region,Nagaon Division,"Moirabari S.O, Datialbori B.O, Doloigaon B.O, Goroimaripathar B.O, Hahcharagaon B.O, Lochanabori B.O, No.1 Gayangaon B.O, Sagunbahipathar B.O, Sahariagaon B.O, Salkati Pathar B.O"
782127,Assam Circle,Dibrugarh Region,Nagaon Division,"Lahorighat S.O, Barangani B.O, Barbori B.O, Baribandha B.O, Chetwaikhaitee B.O, Dewaguri B.O, Dumkura Bazar B.O, Falihamari Pathar B.O, Jalakiabari B.O, Katanigaon B.O, Satiantoli B.O, Tengaguri B.O"
782128,Assam Circle,Dibrugarh Region,Nagaon Division,"Garajan Bazar S.O, Ghehua Chalchali B.O, Kaliadinga B.O, Pub Futaljar B.O, Uttar Garanjan B.O, Uttar Khatowal B.O"
782135,Assam Circle,Dibrugarh Region,Nagaon Division,"Chapanalla S.O, Kathalguri B.O, Parkup Pahar B.O"
782136,Assam Circle,Dibrugarh Region,Nagaon Division,"Jakhalabandha S.O, Amguri B.O, Bagari B.O, Burapahar B.O, Hatbor B.O, Kathterongaon B.O, Kuthori B.O, Seconee Borhola B.O"
782137,Assam Circle,Dibrugarh Region,Nagaon Division,"Kuworitul S.O, Bengenaati B.O, Pubthoria B.O"
782138,Assam Circle,Dibrugarh Region,Nagaon Division,"Missa S.O, Amoni B.O, Barbhagia B.O"
782139,Assam Circle,Dibrugarh Region,Nagaon Division,"Salana S.O, Anjukpani B.O, Barjuri B.O, Sarishabari B.O"
782140,Assam Circle,Dibrugarh Region,Nagaon Division,"Samaguri S.O, Bajiagaon B.O, Bheleoguri B.O, Chakitop B.O, Geruaati Bazar B.O, Kawaimari B.O, Magurmari B.O, Mowamari B.O, Padumoni B.O, Rangagarah B.O, Sibasthan B.O, Singia B.O, Udmari B.O"
782141,Assam Circle,Dibrugarh Region,Nagaon Division,"Puranigudam S.O, Barangatoli B.O, Barpanigaon B.O, Chalchali B.O, Halowagaon B.O, Kakhorigaon B.O, Kalongpar Halowagaon B.O, Marangialgaon B.O, Teliagaon B.O"
782142,Assam Circle,Dibrugarh Region,Nagaon Division,"Bebejia S.O, Barchila B.O, Barmanipur B.O, Chakalaghat B.O, Gakhajua B.O, Gosaibori B.O, Hatichung B.O, Jajori B.O, Jamuguri B.O, Majgaon B.O"
782143,Assam Circle,Dibrugarh Region,Nagaon Division,"Silghat S.O, Bhomoraguri B.O, Borghuli B.O, Kurhimari B.O, Sonarigaon B.O"
782144,Assam Circle,Dibrugarh Region,Nagaon Division,"Baligaon S.O, Borkola B.O, Deorigaon B.O, Ghahibhatikuri B.O, Uttar Petboha B.O"
782401,Assam circle,N/A,Guwahati Division,"Panbari B.O, Digaru S.O"
782402,Assam circle,N/A,Guwahati Division,"Chamatapathar B.O, Hahara B.O, Nartap B.O, Sonai Kamalajari B.O, Tepesia B.O, Sonapur S.O"
782403,Assam circle,N/A,Guwahati Division,"Dhopguri B.O, Durungpahar B.O, Gandhinagar B.O, Malaybari B.O, Nizdemoria B.O, Topatali B.O, Khetri S.O (Kamrup)"
782410,Assam Circle,Dibrugarh Region,Nagaon Division,"Jagiroad S.O, Dayang Beloguri B.O, Dongarbori B.O, Umlapher B.O"
782411,Assam Circle,Dibrugarh Region,Nagaon Division,"Jagibhakatgaon S.O, Barkuloi B.O, Barpak B.O, Buraburi B.O, Burgaon B.O, Hatiamukh B.O, Jagi B.O, Jhargaon B.O, Khulagaon B.O, Kuranibori B.O, Manaha Kacharigaon B.O, Mayang Kamarpur B.O, Natun Bangalbori B.O, Raja Mayang B.O"
782412,Assam Circle,Dibrugarh Region,Nagaon Division,"Dharamtul S.O, Ahatguri B.O, Bangaldhara B.O, Silchung B.O"
782413,Assam Circle,Dibrugarh Region,Nagaon Division,"Kagajnagar S.O, Amguri B.O, Amlighat B.O, Deosal B.O, Killing Valley B.O, Nellie B.O, Patsari B.O, Ulukunchi B.O, Umpanai B.O, Umswai B.O"
782425,Assam Circle,Dibrugarh Region,Nagaon Division,"Chaparmukh S.O, Amsoi Bazar B.O, Bajbatamari B.O, Bamunijan B.O, Bargaon B.O, Beltola B.O, Gaspara B.O, Kakatigaon B.O, Laopani B.O, Pubguimari B.O, Salmora B.O"
782426,Assam Circle,Dibrugarh Region,Nagaon Division,"Kampur S.O, Dakhin Sangchaki B.O, Debnarikoli B.O, Gerjaipam B.O, Ghilani B.O, Jurirpar B.O, Kachua B.O, Niz narikoli B.O, Patiapam B.O, Puthimari Bazar B.O, Satlanga B.O, Simaluguri B.O, Tetelisara B.O"
782427,Assam Circle,Dibrugarh Region,Nagaon Division,"Kathiatoli S.O, Jumurmur B.O, Rengbeng B.O"
782428,Assam Circle,Dibrugarh Region,Nagaon Division,"Jamunamukh S.O, Barapatia B.O, Dumaihagi Dapara B.O, Garukhunda B.O, Jungle Block B.O"
782429,Assam Circle,Dibrugarh Region,Nagaon Division,"Jogijan Bazar S.O, Radhanagar B.O, Sibpur B.O"
782435,Assam Circle,Dibrugarh Region,Nagaon Division,"Hojai S.O, Amtola B.O, Dimrupar B.O, Golaghatiabasti B.O, Gopalnagar B.O, Hojai R.S. B.O, Komorakata B.O, Menmeji B.O, Nandapur Chariali B.O, Padumpukhuri B.O, Siliguri B.O, Telibasti B.O, Singaribasti B.O, Hojai Bazar S.O"
782439,Assam Circle,Dibrugarh Region,Nagaon Division,"Murazar Bazar S.O, Barhawar B.O, Charing B.O, Dighaljar B.O, Karayani B.O, Samarail B.O, Choudhury Bazar B.O"
782440,Assam Circle,Dibrugarh Region,Nagaon Division,"Daboka S.O, Changmaji B.O, Hindu Block B.O, Koroiguri B.O, Modertoli B.O"
782441,Assam Circle,Dibrugarh Region,Nagaon Division,"Dokmaka S.O, Baghpani B.O, Bheleoghat B.O, Biswanathpathar B.O, Cherakani B.O, Danghap B.O, Dentaghat B.O, Duarbamuni B.O, Kajesara Matikhola B.O, Langhin Manikpur B.O, Langhin Tiniali B.O, Langlakso B.O, Padumpukhuri B.O, Panjuri B.O, Parakhowa Bazar B.O, Phulani B.O, Samelangso B.O, Sildharampur B.O, Wirwar B.O"
782442,Assam Circle,Dibrugarh Region,Nagaon Division,"Sankardev Nagar S.O, Azarbari Krishna Nagar B.O, Bhalukmari B.O, Borboha B.O, Jurapukhuri B.O, Kaki Chalchali B.O, Purana Kaki B.O, Kaki B.O"
782445,Assam Circle,Dibrugarh Region,Nagaon Division,"Nilbagan S.O, Ambari B.O, Barangatoli Bazar B.O, Joynagar Madrassa B.O, Kapashbari B.O"
782446,Assam Circle,Dibrugarh Region,Nagaon Division,"Lanka S.O (Nagaon), Anneria B.O, Derapathar B.O, Fultoli Bazar B.O, Gosaigaon B.O, Hawaipur B.O, Kharikhana B.O, Lachit Pathar B.O, Lamsakhang B.O, Laskarpathar B.O, Mailoo Bazar B.O, Mainapur Bazar B.O, Nakhuti Bazar B.O, Pipal Pukhuri B.O, Sambari Dagaon B.O, Sankarpur B.O, Teralangso B.O, Thaisupar B.O, Tiniali Bazar B.O, Udalani Bazar B.O, Watijor B.O, Lankeswarigrant B.O"
782447,Assam Circle,Dibrugarh Region,Nagaon Division,"Lumding S.O, Barlongpher B.O, Khengergaon B.O, Langcholiet B.O, Nailalung B.O, Pub Lumding Bazar B.O, Taralangso No 1 B.O, Harlongpher B.O, Lumding Bazar B.O"
782448,Assam Circle,Dibrugarh Region,Nagaon Division,"Kheroni S.O, Amrang B.O, Dayangmukh B.O, Diyungbra B.O, Forest Bazar B.O, Jengkha B.O, Jirikinding B.O, Sangsiga Bazar B.O"
782450,Assam Circle,Dibrugarh Region,Nagaon Division,"Baithalangsho S.O, Amtreng B.O, Barpani B.O, Honkram B.O, Paharguri B.O, Panjaborpathar B.O, Tengralangso B.O, Tikahill B.O"
782460,Assam Circle,Dibrugarh Region,Nagaon Division,Diphu H.O
782461,Assam Circle,Dibrugarh Region,Nagaon Division,"Manja S.O, Amlakhi Bazar B.O, Kheronigaon B.O, Longnit B.O, Mahendijua B.O, Rongplimplam B.O"
782462,Assam Circle,Dibrugarh Region,Nagaon Division,"Diphu Govt.College S.O, Baghmari B.O, Dewanbasti B.O, Dilaji B.O, Disama B.O, Lurulangso B.O, Phanglangso B.O, Rengkimi Village B.O, Rongkhelon B.O, Diphu Bazar B.O"
