pincode,circle,region,division,offices
766011,Odisha Circle,Berhampur Region,Kalahandi Division,"Utkela S.O, Adhamunda B.O, Badchergaon B.O, Chahagaon B.O, Chahaka B.O, Chancher B.O, Cheliamal B.O, Gokuleswar B.O, Karlapada B.O, Kerokuda B.O, Kikia B.O, Kundabandha B.O, Pastikudi B.O, Phatkamal B.O, Thuapadar B.O, Uchhula B.O"
766012,Odisha Circle,Berhampur Region,Kalahandi Division,"Kesinga S.O, Belkhandi B.O, Boria B.O, Boringpadar B.O, Hatikhoj B.O, Kandel B.O, Kandel Road B.O, Kantisir B.O, Kashrupada B.O, Laitara B.O, Nunmath B.O, Paralsinga B.O, Patharla B.O, Pipalpadar B.O, Rengali B.O, Sirjapali B.O, Sirol B.O, Tonsir B.O, Tundla B.O, Turlakhaman B.O, Kesinga JM Pada S.O, Kesinga RS S.O"
766013,Odisha Circle,Berhampur Region,Kalahandi Division,"Kalampur S.O, Bandhakona B.O, Churagaon B.O, Dasigaon B.O, Deypur B.O, Mandal B.O, Mingur B.O, Mundraguda B.O, Padampur B.O, Pandigaon B.O, Paruaguda B.O"
766014,Odisha Circle,Berhampur Region,Kalahandi Division,"Junagarh S.O, Atigaon B.O, Banijora B.O, Bhainriguda B.O, Bhejipadar B.O, Brahmaniguda B.O, Budhidhara B.O, Chichiaguda B.O, Chilguda B.O, Chingersar B.O, Dedarha B.O, Kaleigaon B.O, Kaliakundal B.O, Koligaon B.O, Malgund B.O, Matigaon B.O, Meriabandhali B.O, Purnasar B.O, Rajpur B.O, Talmala B.O"
766015,Odisha Circle,Berhampur Region,Kalahandi Division,"Dharamgarh S.O, Ainlajore B.O, Badfurla B.O, Bagad B.O, Boden B.O, Brahmanchhendia B.O, Chhilipa B.O, Gadiajore B.O, Ghumer B.O, Khairpadar B.O, Rajmoter B.O, Rourahaldi B.O, Tambachhoda B.O, Tarapur B.O"
766016,Odisha Circle,Berhampur Region,Kalahandi Division,"Golamunda S.O, Chapria B.O, Khaliakani B.O, Sanchergaon B.O, Brundabahal B.O, Manjhari B.O, Kegaon B.O, Naktikani B.O, Udesurung B.O, Khaliapalli B.O, Gandamer B.O"
766017,Odisha Circle,Berhampur Region,Kalahandi Division,"Charbahal S.O, Arebeda B.O, Bandigaon B.O, Dahagaon B.O, Dalguma B.O, Dungariguda B.O, Moter B.O, Musapali B.O, Ranmal B.O, Sargiguda B.O"
766018,Odisha Circle,Berhampur Region,Kalahandi Division,"Jaipatna S.O, Ainlabhata B.O, Badkarlakote B.O, Badkutru B.O, Badpujhariguda B.O, Baner B.O, Bhainripalli B.O, Bijmara B.O, Bimla B.O, Dhansuli B.O, Karmeli B.O, Khaliabhata B.O, Mangalpur B.O, Paikendumundi B.O"
766019,Odisha Circle,Berhampur Region,Kalahandi Division,"Koksara S.O, Ainli B.O, Chikilli B.O, Cowdola B.O, Dengaguda B.O, Dhansara B.O, Gambhariguda B.O, Kandabutra B.O, Kashibahal B.O, Kumjore B.O, Ladugaon B.O, Mahima B.O, Majhiguda B.O, Phupgaon B.O, Rengalpali B.O, Temera B.O, Uchhula B.O"
766020,Odisha Circle,Berhampur Region,Kalahandi Division,"Biswanathpur S.O, Bandhapari B.O, Bengaon B.O, Champadeipur B.O, Dungrigaon B.O, Gopinathpur B.O, Kankutru B.O, Lakhbahali B.O, Lanji B.O, Nangalbeda B.O, Pokharibandh B.O"
