business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Balki Enterprises Pvt Ltd,Social Media Marketing Agencies,Marketing agency,Marketing agency,767048,Odisha Circle,Sambalpur Region,Balangir Division,"Bhainsa S.O (Balangir), Bhundimuhan B.O, Dumerpita B.O",+91 93115 50063,https://www.balki.co.in/,5,,"Lower Ground Floor, 3/17, Block 3, East Patel Nagar, Patel Nagar, New Delhi, Delhi 110008","Block 3, East Patel Nagar, Patel Nagar",28.6446284,77.1711334,ChIJNUekJfjjD0oRxUR8tmaDMV0,https://www.google.com/maps/place/?q=place_id:ChIJNUekJfjjD0oRxUR8tmaDMV0,part_353,2026-09-20 20:26:48
Maya | Digital Marketing Agency,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",767048,Odisha Circle,Sambalpur Region,Balangir Division,"Bhainsa S.O (Balangir), Bhundimuhan B.O, Dumerpita B.O",N/A,https://mayadigital.digitaldsp.online/,5,,"Maya | Digital Marketing Agency, 767048, India",767048,27.477786,89.6464817,ChIJQwVYRTA3nYgRuje3r5aqyHA,https://www.google.com/maps/place/?q=place_id:ChIJQwVYRTA3nYgRuje3r5aqyHA,part_353,2026-09-20 20:26:48
Digital Hope | Digital Marketing Agency,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Service establishment",767048,Odisha Circle,Sambalpur Region,Balangir Division,"Bhainsa S.O (Balangir), Bhundimuhan B.O, Dumerpita B.O",N/A,N/A,5,,"Digital Hope | Digital Marketing Agency, 767048, India",767048,27.477786,89.6464817,ChIJrydX3yKZ_0cR1xZvXbL_C1w,https://www.google.com/maps/place/?q=place_id:ChIJrydX3yKZ_0cR1xZvXbL_C1w,part_353,2026-09-20 20:26:48
