pincode,circle,region,division,offices
764047,Odisha Circle,Berhampur Region,Koraput Division,"Kalimela S.O, Bapanpali B.O, Bhejangiwada B.O, Girikanpalli B.O, Gampakonda B.O, Kongurukonda B.O, Manyamkonda B.O, Maranpalli B.O, Motteru B.O, Nallagunthi B.O, Niliguda B.O, Podia B.O, Simlibamchha B.O, Talarai B.O, Venkatpallam B.O"
764048,Odisha Circle,Berhampur Region,Koraput Division,Malkangiri Colony S.O
764049,Odisha Circle,Berhampur Region,Koraput Division,"Anchalgumma S.O, Amlabhata B.O, Bharanpur B.O, Dhondra B.O, Jhariguma B.O, Kamta B.O, Kontagam B.O, Patraput B.O"
764051,Odisha Circle,Berhampur Region,Koraput Division,"Balimela S.O, B.Mamidi B.O, Chitapari B.O, Dyke 1 B.O, Kambeda B.O, Muduliguda B.O, Nakamamidi B.O, Nilakhambari B.O, Potrel B.O, Tarlakota B.O, PURUNA CHINTAPALLI B.O."
764052,Odisha Circle,Berhampur Region,Koraput Division,"Chitrakonda S.O, Andrapali B.O, Badapadar B.O, Boiliguma B.O, Doraguda B.O, Gunthawada B.O, Jodamba B.O, Panasput B.O, Papermetla B.O, Populuru B.O, Relageda B.O, Kurmanur B.O, Kopatuti B.O, Badapoda B.O, Nuaguda B.O"
764055,Odisha Circle,Berhampur Region,Koraput Division,"Ambaguda S.O, Bobia B.O, Hadia B.O, Haradaput B.O, Jamunda B.O, Konga B.O, Kusumi B.O"
764056,Odisha Circle,Berhampur Region,Koraput Division,"Borigumma S.O, Anchala B.O, Benasur B.O, Bijapur B.O, Chitra B.O, Gujaniguda B.O, Hardoli B.O, Jayantgiri B.O, Kabidi B.O, Konagam B.O, Kosaguda B.O, Malda B.O, Nuagaon B.O, Panasaguda B.O, Porli B.O, Pujariput B.O, Raniguda B.O, Sanparia B.O, Sasahandi B.O, Sorgiguda B.O"
764057,Odisha Circle,Berhampur Region,Koraput Division,"Bhairabsinghpur S.O, Benagaon B.O, Bodigaon B.O, Champapadar B.O, Gumuda B.O, Kamta B.O, Kathargada B.O, Kumuli B.O, Munja B.O, Narigam B.O, Ranaspur B.O, Semlaguda B.O, Haridaguda B.O, Duarsuni B.O"
764058,Odisha Circle,Berhampur Region,Koraput Division,"Kotpad S.O, Batasena B.O, Bhansuli B.O, Binjili B.O, Chandili B.O, Chirma B.O, Dhamanahandi B.O, Ghotarla B.O, Ghumar B.O, Girla B.O, Kerla B.O, Modeigaon B.O, Muttahandi B.O, Sadaranga B.O, Sunarbelli (Nuagaon) B.O, Ukiapalli B.O, Chhatarla B.O, Guali B.O"
764059,Odisha Circle,Berhampur Region,Koraput Division,"Nabarangpur S.O, Agnipur B.O, Badakumuli B.O, Baghsiuni B.O, Bikrampur B.O, Jambaguda B.O, Kangra B.O, Kukudabai B.O, Kurlughati B.O, Majhiguda B.O, Mantriguda B.O, Taragaon B.O, Nabarangpur Bazar S.O"
764061,Odisha Circle,Berhampur Region,Koraput Division,"Kosagumuda S.O, Badambeda B.O, Bajraguda B.O, Bhamuni B.O, Ghadadhanua B.O, Kukudisemla B.O, Majhidhanua B.O, Motigaon B.O, Panduguda B.O, Rajoda B.O, Sanameda B.O, Temera B.O"
764062,Odisha Circle,Berhampur Region,Rayagada Division,"Bikrampur S.O, Serjholi B.O"
764063,Odisha circle,Berhampur Region,Koraput Division,"Ambadola B.O, Aunli B.O, Bhatrasiuni B.O, Bhatigam B.O, Dengapadar B.O, Jujhari B.O, Porsola B.O, Pujariguda B.O, Rangamatiguda B.O, Sanamasigaon B.O, Sindhigaon B.O, Sindhiguda B.O, Mirganiguda S.O, Baragam B.O"
764070,Odisha Circle,Berhampur Region,Koraput Division,"Tentulikhunti S.O, Bhejaguda B.O, Charmula B.O, Khuntipadar B.O, Manchagaon B.O, Mentri B.O, Pujariguda B.O"
764071,Odisha Circle,Berhampur Region,Koraput Division,"Papadahandi S.O, Biriguda B.O, Cherchata B.O, Dengaguda B.O, Hirli B.O, Jatabal B.O, Maidalpur B.O, Majhiguda B.O, Mokiya B.O, Naktiguda B.O, Nuakote B.O, Patri B.O, Pendikote B.O, Semla B.O, Sirisi B.O, Tumberla B.O, Ushigaon B.O"
764072,Odisha Circle,Berhampur Region,Koraput Division,"Dabugam S.O, Banuaguda B.O, Baigam B.O, Bokadabeda B.O, Borigaon B.O, Chatiguda B.O, Checherguda B.O, Dhamanaguda B.O, Dongriguda B.O, Ghodakhuntia B.O, Jabaguda B.O, Junapani B.O, Koragam B.O, Manigam B.O, Medana B.O, Mohendri B.O, Singisari B.O"
764073,Odisha Circle,Berhampur Region,Koraput Division,"Umerkote S.O, Adhikariguda B.O, Badabasini B.O, Badabharandi B.O, Badakumari B.O, Beheda B.O, Benara B.O, Bhamini B.O, Bokoda B.O, Burja B.O, Chikalpadar B.O, Dhodra B.O, Hirapur B.O, Jamranda B.O, Khanda B.O, Murtuma B.O, Sirliguda B.O, Sunabeda B.O, Umerkote Bazar S.O"
764074,Odisha Circle,Berhampur Region,Koraput Division,"Raighar S.O, Bharsundi B.O, Bubei B.O, Debagaon B.O, Ganjapara B.O, Gona B.O, Kumuli B.O, Kurbeda B.O, Mohanda B.O, Naktisimla B.O, Pandripakna B.O, Sarguli B.O, Sonepur B.O"
764075,Odisha Circle,Berhampur Region,Koraput Division,"Kodinga S.O, Attigaon B.O, B.Gumuda B.O, B.M.Semla B.O, Badaolama B.O, Basini B.O, Belanga B.O, Betal B.O, Chhatahandi B.O, Dongra B.O, Ekori B.O, Jhadakusumi B.O, Kondapuri B.O, Kotagaon B.O, Kutubai B.O"
764076,Odisha Circle,Berhampur Region,Koraput Division,"Jharigam S.O, Badatemra B.O, Banuaguda B.O, Belagaon B.O, Bhikhya B.O, Chitabeda B.O, Chocha B.O, Ekamba B.O, Palia B.O, Phupugam B.O"
764077,Odisha Circle,Berhampur Region,Koraput Division,"Chandahandi S.O, Anakabeda B.O, Beheramunda B.O, Dalbeda B.O, Dandamunda B.O, Gambhariguda B.O, Jamadapada B.O, Kolimunda B.O, Melgam B.O, Mohara B.O, Palsapara B.O, Patiki B.O, Patkhalia B.O, Rajkote B.O, Saradhapur B.O"
764078,Odisha Circle,Berhampur Region,Koraput Division,"Dongerbheja S.O, Digisalpa B.O, Dohona B.O, J.B.Guda B.O, Maliguda B.O, Nandahandi B.O, R.Jaganathpur B.O"
764081,Odisha Circle,Berhampur Region,Koraput Division,"Lamtaput S.O, Jalahanjar B.O, Soguru B.O, Tikarpada B.O, Tusuba B.O"
764085,Odisha Circle,Berhampur Region,Koraput Division,"Khatiguda S.O, Parajadeopalli B.O"
764086,Odisha Circle,Berhampur Region,Koraput Division,"Saradhapalli S.O, Bodili B.O, Chitrangpali B.O, Gurakhunta B.O, Metapoka B.O, Gumuka B.O, Sikhapali B.O"
764087,Odisha Circle,Berhampur Region,Koraput Division,"Lachipeta S.O, Anantapali B.O, Maharajpalli B.O, Malavaram B.O, Motu B.O, Tandabai B.O, Bhubanpalli B.O"
764088,Odisha Circle,Berhampur Region,Koraput Division,"Turudihi, Kaudala B.O, Kundei B.O, Jodinga B.O, Khuduku B.O, Deobharandi B.O, Hatabharandi B.O, Jadapara B.O, Parchipara B.O"
765001,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada(K) H.O, R K Nagar, Rayagada S.O, Rayagada Bazar S.O, Rayagada Gandhinagar S.O, Rayagada College S.O"
765002,Odisha Circle,Berhampur Region,Rayagada Division,"Rayagada S.F. S.O, B.Haluva B.O, Gajigaon B.O, Halva B.O, J.D.Pentho B.O, K.Gumma B.O, Kerada B.O, Kumbhikota B.O, Kutuli B.O, Pitamahal B.O, S.S.Khal B.O, Sulava B.O, Todama B.O"
765013,Odisha Circle,Berhampur Region,Koraput Division,"Laxmipur (Koraput) S.O, Bilangsil B.O, Burja B.O, Champi B.O, Gadiaguda B.O, Goudaguda B.O, Kakirigumma B.O, Kusumguda B.O, Munjanga B.O, Odiapentha B.O, Panchada B.O, Pipalpadar B.O, Podagada B.O, Toyaput B.O, Upperkutinga B.O"
765015,Odisha Circle,Berhampur Region,Rayagada Division,"Kashipur S.O, Bankamba B.O, Adajori B.O, Bankamba BO, Bilamala B.O, Chandgiri B.O, Chandragiri B.O, Dongasil B.O, Godibali B.O, Gorakhpur B.O, Kampara B.O, Kodipari B.O, Kuchipadar B.O, Maikanch B.O, Mandibisi B.O, Mansugaon B.O, Naktiguda B.O, Panchali B.O, Podapari B.O, Renga B.O, Sankarada B.O, Siripai B.O, Sunger B.O, Tikiri B.O, Turaighati B.O"
765016,Odisha Circle,Berhampur Region,Rayagada Division,"K.Singhpur S.O, D.Panga B.O, Jaganathpur B.O, Korapa B.O, Narayanpur B.O, Polama B.O, Pujariguda B.O, Singari B.O, Sunakhandi B.O"
765017,Odisha Circle,Berhampur Region,Rayagada Division,"J.K.Pur S.O, Antamoda B.O, B.Alubadi B.O, B.Khillapadar B.O, Budaguda B.O, Dangaladi B.O, Dondili B.O, G.Seshkhal B.O, Jilunda B.O, Karubai B.O, Kolnara B.O, Komtalpeta B.O, Kothapeta B.O, Majhiguda B.O, Mirabali B.O, Pipalguda B.O, Sikarpai B.O, Sirigumma B.O, Suri B.O, J.K.Pur Bazar S.O"
765018,Odisha Circle,Berhampur Region,Rayagada Division,"Therubali S.O, Buduni B.O, Dumuriguda B.O, Paikapada B.O"
765019,Odisha Circle,Berhampur Region,Rayagada Division,"Bissamcuttack S.O, B.Gotiguda B.O, Batalpur B.O, Bethiapada B.O, Chatikona B.O, Dukum B.O, Dumurineli B.O, Durgi B.O, H.Donga B.O, Jhigidi B.O, K.Dhamuni B.O, K.Golmi B.O, Kachapai B.O, Kankubadi B.O, Konabai B.O, Kurli B.O, Mundakota B.O, Murtuli B.O, P.Dokuluguda B.O, Patraguda B.O, Penta B.O, Piskapanga B.O, Sahada B.O"
765020,Odisha Circle,Berhampur Region,Rayagada Division,"Muniguda S.O, Agula B.O, B.Bandili B.O, Bhairabguda B.O, Budubali B.O, Chandrapur B.O, Dangasorada B.O, Dohikhal B.O, Hanumanthpur B.O, Hatamuniguda B.O, Jagdalpur B.O, Jarapa B.O, Kumudabali B.O, Kutraguda B.O, Laxmipur B.O, M.Patraguda B.O, T.Padar B.O"
765021,Odisha Circle,Berhampur Region,Rayagada Division,"Ambadola S.O, Ichhapur B.O, Raghubari B.O"
765022,Odisha Circle,Berhampur Region,Rayagada Division,"Gunupur S.O, Chinasari B.O, Godiakhal B.O, Jaltar B.O, Kharlingi B.O, Kulusingi B.O, Puttasingi B.O, Regada B.O, Sagada B.O, Taribili B.O, Tolana B.O, Marathiguda S.O"
765023,Odisha Circle,Berhampur Region,Rayagada Division,"Kujendri S.O, Buthingi B.O, Neelamguda B.O, Omadingi B.O, Panasaguda B.O, Penakham B.O"
765024,Odisha Circle,Berhampur Region,Rayagada Division,"Ukkamba S.O, Bhamini B.O, Bichikote B.O, Derigam B.O, G.Laxmipur B.O, Limapadar B.O, Naira B.O"
765025,Odisha Circle,Berhampur Region,Rayagada Division,"Padmapur S.O, Akhusingi B.O, Ambabadi B.O, Biripadar B.O, Godiabandha B.O, Guluguda B.O, Indupur B.O, Jathili B.O, Karini B.O, Khambariguda B.O, Khilapadar B.O, Khillingrai B.O, Perupanga B.O, Tabalaguda B.O, Tembaguda B.O, Nuaguda B.O"
765026,Odisha Circle,Berhampur Region,Rayagada Division,"Gudari S.O, Asada B.O, Badapankal B.O, Bellamguda B.O, Bijapur B.O, Dhepaguda B.O, Karlaghati B.O, Khariguda B.O, Kinalodi B.O, Kodama B.O, M.Khillingrai B.O, Madhuban B.O, Pendili B.O, Sanahuma B.O, Siriguda B.O"
765029,Odisha Circle,Berhampur Region,Rayagada Division,"Ramanaguda S.O, Bankili B.O, Bhoimada B.O, G.Gulumunda B.O, Gogupada B.O, Gulunthi B.O, Hatikhamba B.O, K.Kota B.O, Katiki B.O, Kinarimada B.O, Kondajam B.O, Panichatra B.O, Rekhapadar B.O, S.Dhamini B.O"
765033,Odisha Circle,Berhampur Region,Rayagada Division,"Dambasora S.O, Bagusala B.O, Bhimpur B.O, Chalakamba B.O, Ghanatri B.O, Khaira B.O, Laba B.O, Tiitmari B.O"
765034,Odisha Circle,Berhampur Region,Rayagada Division,"Jaganathpur S.O, G.Padar B.O, Marma B.O"
766001,Odisha Circle,Berhampur Region,Kalahandi Division,"Bhawanipatna H.O, Bhawanipatna B.B.Pada S.O, Bhawanipatna Collectorate S.O, Bhawanipatna CollegeSquare S.O, Bhawanipatna Naktiguda S.O, Bhawanipatna Stadium S.O"
