pincode,circle,region,division,offices
782470,Assam Circle,Dibrugarh Region,Nagaon Division,"Dhansripar S.O, Balipathar B.O, Daldali B.O, Deopani B.O, Dwajungphang B.O, Japrajan B.O, Neparpatty B.O, Rangapahar Siding B.O, Tengelijan B.O"
782480,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan S.O, Deithor B.O, Dillai B.O, Dillai Parbat B.O, Gautambasti B.O, Golaibasti B.O, Hidipi B.O, Kailajan B.O, Karagaon B.O, Khatkhati B.O, Kuligaon B.O, Laharijan B.O, Morakordoiguri B.O, Sarihajan B.O"
782481,Assam Circle,Dibrugarh Region,Nagaon Division,"Howraghat S.O, Amonigaon B.O, Baligaon Tiniali B.O, Bobilgaon B.O, Borbali B.O, Dakhin Dighalipar B.O, Debasthan Bazar B.O, Eradighalpani B.O, Hidibonglong B.O, Okrang B.O, Palakamati B.O, Panditghat B.O, Rajapathar B.O, Rongkut B.O, Uttar Borbil B.O"
782482,Assam Circle,Dibrugarh Region,Nagaon Division,"Bakalighat S.O, Disobai B.O, Kachupukhuri B.O, Langbangdingpi B.O, Lorenthepi B.O, Pub Silputa B.O, Samaguri Bazar B.O, Shyampathar B.O, Silputa Tiniali B.O, Tarabasa B.O, Teteliguri B.O, Udali No 1 B.O"
782485,Assam Circle,Dibrugarh Region,Nagaon Division,"Donkamokam S.O, Borthal B.O, Honlokrok B.O, Jaljuri B.O, Kalanga B.O, Phangtrengphang B.O, Satgaon B.O, Taradubi B.O, Tumpreng B.O"
782486,Assam Circle,Dibrugarh Region,Nagaon Division,"Hamren S.O, Khanduli B.O, Umcherra B.O"
782490,Assam Circle,Dibrugarh Region,Nagaon Division,"Bokajan C F S.O, Bogijan B.O, Deihari B.O, Jongpha B.O, Vitorkaliani B.O, Chakihola B.O"
783101,Assam Circle,N/A,Goalpara Division,"Baladmari S.O, Goalpara S.O, Baladmarirchar B.O, Barbhita B.O, Bhalukdubi B.O, Dakurbhita B.O, Dariduri B.O, Dubapara B.O, Govindapur B.O, Kalyanpur B.O, Kharmuza B.O, Mornai B.O, Rakhasini B.O, Ramharirchar B.O, Simlabari B.O, Uzirahar B.O"
783120,Assam Circle,N/A,Goalpara Division,"Agia S.O, Balbala Kalapani B.O, Bardamal B.O, Barjhora B.O, Dwarka B.O, Jurigaon B.O, Maladhara B.O, Markula B.O, Suarmari B.O, Tisimpur B.O, Badahapur B.O, Baida B.O, Depalsung B.O"
783122,Assam Circle,N/A,Goalpara Division,"Damra S.O, Nishangram B.O"
783123,Assam Circle,N/A,Goalpara Division,"Dhupdhara S.O, Ambari B.O, Ambuk B.O, Bagdoba B.O, Chekowary B.O, Dighali B.O, Kothakuthi B.O, Salpara B.O, Tingba B.O"
783124,Assam Circle,N/A,Goalpara Division,"Dudhnoi S.O, Amjonga B.O, Bandarshi B.O, Darakh B.O, Khusdhowa B.O, Lela B.O, Manupara B.O, Upartala B.O"
783125,Assam Circle,N/A,Goalpara Division,"Matia S.O, Bahati B.O, Bakaitari B.O, Chakla B.O, Dahela B.O, Dalgoma B.O, Gossaibari B.O, Matia Bazar B.O, Sutarpara B.O"
783126,Assam Circle,N/A,Goalpara Division,"Krishnai S.O, Chotipara B.O, Chotomatia B.O, Dhaigaon B.O, Harimura B.O, Khardang B.O, Kukurkata B.O, Lalabari B.O, Misilkhowa B.O, Tukura B.O, Zira B.O"
783127,Assam Circle,N/A,Goalpara Division,"Salmara South S.O, Bauskata B.O, Patakata B.O, Pocharchar B.O, Ravatari B.O, Sarkarergaon B.O, Tumni B.O"
