pincode,circle,region,division,offices
768045,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bhukta S.O, Bara B.O, Bhainatora B.O, Kandapala B.O, Kapasira B.O, Kumbho B.O, Ruchida B.O"
768048,Odisha Circle,Sambalpur Region,Sambalpur Division,"Laumunda S.O, Jokhipali B.O, Majhipali B.O, BANIACHAL"
768049,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jamla S.O, Ganiapali B.O, Phalsapali B.O, Sargibahal B.O"
768050,Odisha Circle,Sambalpur Region,Sambalpur Division,"Mandosil S.O, Chendeikela B.O, Jamseth B.O, Jhitiki B.O"
768052,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dunguri Lsq Colony Campus S.O, Banjipali B.O, Dungri B.O, Karlasantara B.O, Lakhanpur B.O, Tamdei B.O, Uttam B.O, KHOLA"
768053,Odisha Circle,Sambalpur Region,Sambalpur Division,Renaglipali Canal  Colony  SO
768102,Odisha Circle,Sambalpur Region,Sambalpur Division,"Larambha S.O, Deshbhatli B.O, Kadobahal B.O, Kultatukura B.O, Tampersara B.O"
768103,Odisha Circle,Sambalpur Region,Sambalpur Division,"Remunda S.O, Arjunda B.O, Bakti B.O, Bhoipali B.O, Burda B.O, Dekulba B.O, Jharpali B.O, Jhilminda B.O, Kuruan B.O, Lupursingha B.O, Sankhirda B.O, Talmenda B.O, Talsirgida B.O"
768104,Odisha Circle,Sambalpur Region,Sambalpur Division,"Bheden S.O, Ainlapali B.O, Areigudi B.O, Baramkela B.O, Barapadar B.O, Chichinda B.O, Kubedega B.O, Kudopali B.O, Manpur B.O, Papanga B.O, Resam B.O, Sunalarambha B.O"
768105,Odisha Circle,Sambalpur Region,Sambalpur Division,"Jujumura S.O, Bansajal B.O, Basiapara B.O, Birsinghgarh B.O, Chhamunda B.O, Gadgadbahal B.O, Godloisingh B.O, Hatibari B.O, J.Rengali B.O, Keshapali B.O, Lipinda B.O, Mochibahal B.O, R.Badmal B.O, BHALIAKATA"
768106,Odisha Circle,Sambalpur Region,Sambalpur Division,"Rairakhol S.O, Batgaon B.O, Charmal B.O, Daincha B.O, Ghosaramal B.O, Girischandrapur B.O, Jamujori B.O, Kadaligarh B.O, Kelloballam B.O, Kisinda B.O, Luhapank B.O, R.Badbahal B.O, Sarapali B.O, Similipal B.O, Tribanpur B.O, BHARTAPUR, GOGUA"
768107,Odisha circle,Sambalpur Region,Sambalpur Division,"Godrapara B.O, Jamankira S.O, Badrama B.O, Bamandagarh B.O, Barhamundi B.O, Bhatpura B.O, Bhojpur B.O, Chakuliabahal B.O, Chinimahul B.O, Dimirikuda B.O, Fasimal B.O, Gundurchuan B.O, Jamumal B.O, Katangapani B.O, Katarkela B.O, Mahalingkudar B.O, Sarda B.O, Shirod B.O, Tikiba B.O, Tikilipada B.O, GAMDAM"
768108,Odisha Circle,Sambalpur Region,Sambalpur Division,"Deogarh S.O (Debagarh), Balam B.O, Basaloi B.O, Bhatsingh B.O, Dandasingha B.O, Dantaribahal B.O, Ganganan B.O, Jhargogua B.O, Kandhal B.O, Kantapali B.O, Khilei B.O, Laimura B.O, Nuadihi B.O, Parposi B.O, Suguda B.O, BIJAYANAGAR, Rambhei B.O, KALANDA, KHOLHABASA"
768109,Odisha Circle,Sambalpur Region,Sambalpur Division,"Reamal S.O, Aunli B.O, Budido B.O, Dashgharia B.O, Gambharipali B.O, Kantabahal B.O, Karlaga B.O, Kundheigola B.O, Lulang B.O, Malehipada B.O, Naulipara B.O, Palsama B.O, Salebhata B.O, Sarpal B.O, Tarang B.O, Tinkbir B.O, Tuhilamal B.O, Tungamal B.O, Utunia B.O, ADAS, PARA"
768110,Odisha circle,Sambalpur Region,Sambalpur Division,"Ambagaon B.O, Balanda B.O, Balani B.O, Bamparda B.O, Charimancha B.O, Danra B.O, Gursang B.O, Kadopada B.O, Kalla B.O, Madhyapur B.O, Saida B.O, Saruali B.O, Barkote S.O, KALIAPAL, JHARAKANDHAL"
768111,Odisha Circle,Sambalpur Region,Sambalpur Division,"Godbhaga S.O, Dulampur B.O, Kumelsingha B.O, Lahanda B.O, Silet B.O"
768112,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gourpali S.O, Badasahir B.O, Baham B.O, Dangarpara B.O, Jayantapur B.O, Kabrapali B.O, Kharsanmal B.O, Kulundi B.O, Mudhenapali B.O, N.Barangamal B.O, Nuaburda B.O, Padiabahal B.O, Tampargarh B.O, MEGHPAL"
768113,Odisha Circle,Sambalpur Region,Sambalpur Division,"Dhama S.O, Amkuni B.O, Baduapali B.O, Bargaon B.O, Dakra B.O, Sahaspur B.O, Salesingha B.O"
768115,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gondturum S.O, Mahule B.O, Rusuda B.O, Sialkhandata B.O"
768118,Odisha Circle,Sambalpur Region,Sambalpur Division,Naktideul S.O
768119,Odisha Circle,Sambalpur Region,Sambalpur Division,"Purunagarh S.O, K.Tainsar B.O, Rengalbeda B.O, Tabada B.O, Tentelabahal B.O, Tileibani B.O, GUNDIAPALI"
768121,Odisha Circle,Sambalpur Region,Sambalpur Division,"Gohira Dam Site S.O, Barghat B.O, Dholpara B.O, Kansar B.O"
768200,Odisha Circle,Sambalpur Region,Sambalpur Division,"Sasan Rs S.O, Bishalkhinda B.O, Jamadarpali B.O, Kukudapali B.O, Parmanpur B.O, Sangramal B. Camp B.O, Tabla B.O, Talab B.O, Tamperkela B.O"
768201,Odisha Circle,Sambalpur Region,Sundargarh Division,"Jharsuguda H.O, Sarbahal S.O, Sr Jharsuguda S.O"
768202,Odisha Circle,Sambalpur Region,Sundargarh Division,"K.M. Road Jharsuguda S.O, Arda B.O, Badmal B.O, Ektali B.O, Gudigaon B.O, H. Katapali B.O, Hirma B.O, Markuta B.O, Sripura B.O, Sulahi B.O"
768203,Odisha Circle,Sambalpur Region,Sundargarh Division,Industrial Estate Jharsuguda S S.O
768204,Odisha Circle,Sambalpur Region,Sundargarh Division,"O.M.P. Line Jharsuguda S.O, Durlaga B.O, Panchpara B.O, Talmal B.O, Talpatia B.O"
768210,Odisha Circle,Sambalpur Region,Sundargarh Division,Thelkuli S.O
768211,Odisha Circle,Sambalpur Region,Sundargarh Division,"Bandhbahal Colony S.O, Charpali barpali B.O, Dalgaon B.O, Ramella B.O, Rampella B.O, Sarandamal B.O"
768212,Odisha circle,Sambalpur Region,Sambalpur Division,"Basupali B.O, Bomaloi B.O, Ghichamura B.O, Jharghati Colony B.O, K. Jhankarpali B.O, Katarbaga B.O, Khinda B.O, Kilasama B.O, Kurla B.O, Lapanga B.O, Patrapali B.O, Rengali SO"
768213,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kolabira S.O, Bhatlaida B.O, Jhirlapali B.O, Malidihi B.O, Mudrajore B.O, Niktimal B.O, Paramanandapur B.O, Raghunathpali B.O, Samasingha B.O"
768214,Odisha Circle,Sambalpur Region,Sundargarh Division,"Laida S.O, Binjipali B.O, Kenadhipa B.O, Kinaloi B.O, Sadamal B.O"
768215,Odisha Circle,Sambalpur Region,Sundargarh Division,"Laikera S.O, Aintapali B.O, Sahaspur B.O, Sarangloi B.O, Sudang B.O"
768216,Odisha Circle,Sambalpur Region,Sundargarh Division,"Brajarajnagar S.O, Chandinimal B.O, Chichinda B.O, Gandghara B.O, I B B.O, Lamptibahal B.O, Loisingh B.O, Rajpur B.O, Sr Brajarjanagar SO"
768217,Odisha Circle,Sambalpur Region,Sundargarh Division,"Belpahar Rs S.O, Banjari B.O, Jorabaga B.O, Kudaloi B.O, Ubuda B.O"
768218,Odisha Circle,Sambalpur Region,Sundargarh Division,Belpahar S.O
768219,Odisha Circle,Sambalpur Region,Sundargarh Division,"Lakhanpur S.O Jharsuguda, Bagmunda B.O, Bhaurkhol B.O, Kadamdihi B.O, Kudabaga B.O, Thebra B.O"
768220,Odisha circle,Sambalpur Region,Sundargarh Division,"Bhalupatra B.O, Bhimjore B.O, Kirmira B.O, Naxapali B.O, Bagdehi S.O"
768221,Odisha circle,Sambalpur Region,Sundargarh Division,"Babuchipidihi B.O, Bamra S.O, Badapada B.O, Badumermunda B.O, Bamphei B.O, Bamrabasti B.O, Baunslaga B.O, Burbuda B.O, Ghunghuti B.O, Kechhopani B.O, Kuarmal B.O, Kuturimal B.O, Pankenpada B.O, Rangiatikira B.O, Tileimal B.O, Uchakapat B.O"
768222,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kuchinda S.O, Ardabahal B.O, Bauriguda B.O, Baxma B.O, Bhoipali B.O, Chandinimal B.O, Dhudipali B.O, Gochhara B.O, Hardipali B.O, Khandakata B.O, Kindira B.O, Kuleigarh B.O, Kuturchuan B.O, Lad B.O, Laigura B.O, Paruabhadi B.O, Purunapani B.O, Ramtileimal B.O, Satkama B.O, Subarnapali B.O, Telitileimal B.O"
768224,Odisha Circle,Sambalpur Region,Sundargarh Division,"Garposh S.O, Dangajore B.O, Gardega B.O, Kinabaga B.O, Nuapali B.O, Pindapathar B.O, Ragba B.O, Sagra B.O"
768225,Odisha Circle,Sambalpur Region,Sundargarh Division,"Rampur Colliery S.O, Katabaga B.O, R. Kudapali B.O"
768226,Odisha Circle,Sambalpur Region,Sundargarh Division,"Panchgaon S.O, Attabira B.O, Charpali B.O, Kanaktara B.O, Kandheikela B.O, Kapilapur B.O, M. Katapali B.O, Mochida B.O, Remta B.O"
768227,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kusumi S.O, Badbahal B.O, Banke B.O, Gosainpara B.O, K. Jamankira B.O, Kuntara B.O, Laidaguma B.O, Salebhadi B.O, Sanmundaloi B.O, Tainsar B.O, Turei-niktimal B.O"
768228,Odisha Circle,Sambalpur Region,Sundargarh Division,"Kesaibahal S.O, Babu Nikitimal B.O, Baliturei B.O, Bilung B.O, Chhatabar B.O, Jorabaga B.O, Kabribahal B.O, Khalbilung B.O, Lariapali B.O, M. Balanda B.O, Mahulpali B.O, Nuadihi B.O, P. Niktimal B.O, Routbahal B.O, Sargidihi B.O, Sole B.O, Talsara B.O, Turei B.O, Uttargaon B.O"
768233,Odisha Circle,Sambalpur Region,Sundargarh Division,Orient Colliery Brajarajnagar S.O
768234,Odisha Circle,Sambalpur Region,Sundargarh Division,"Itps Banaharpali S.O, N. Adhapara B.O, Pandri B.O, Rampaluga Reneda B.O, Sunari B.O"
769001,Odisha Circle,Sambalpur Region,Rourkela Division,"Rourkela H.O, Bisra Road S.O, Daily Market S.O"
